Vis,rawData1,rawData2,TruePercent,ReportedPercent
BarChart,77,13,16,30
BarChart,77,73,94,95
TreeMap,72,50,69,70
TreeMap,43,63,68,80
BarChart,48,16,33,50
TreeMap,22,46,47,40
BarChart,74,52,70,80
PieChart,14,73,19,15
TreeMap,47,63,74,95
TreeMap,87,24,27,40
TreeMap,34,31,91,95
TreeMap,42,49,85,95
BarChart,30,47,63,70
TreeMap,54,80,67,70
PieChart,32,27,84,70
TreeMap,51,35,68,75
BarChart,73,66,90,90
BarChart,13,27,48,70
BarChart,70,75,93,95
TreeMap,85,49,57,60
TreeMap,10,85,11,30
BarChart,59,59,100,100
PieChart,84,57,67,85
TreeMap,78,53,67,70
PieChart,30,63,47,50
TreeMap,9,65,13,33
PieChart,65,87,74,46
BarChart,57,30,52,56
PieChart,48,41,85,56
BarChart,3,3,100,100
BarChart,55,52,94,95
TreeMap,20,89,22,20
PieChart,23,47,48,30
TreeMap,52,58,89,95
BarChart,12,1,8,50
BarChart,24,12,50,70
PieChart,56,9,16,20
PieChart,71,43,60,40
PieChart,44,42,95,100
TreeMap,34,51,66,80
PieChart,37,49,75,80
PieChart,62,31,50,50
TreeMap,56,15,26,30
TreeMap,39,13,33,40
BarChart,68,64,94,95
PieChart,42,61,68,70
PieChart,12,15,80,100
PieChart,67,45,67,70
PieChart,49,75,65,60
BarChart,79,100,10,10
BarChart,4,16,25,50
TreeMap,23,42,54,80
BarChart,14,71,19,30
BarChart,78,86,90,95
PieChart,9,80,11,10
BarChart,11,20,55,80
PieChart,33,86,38,30
TreeMap,83,89,93,100
PieChart,87,83,95,85
PieChart,17,45,37,40
PieChart,44,71,61,60
TreeMap,65,29,44,50
BarChart,9,87,10,15
BarChart,34,63,53,70
TreeMap,22,27,81,80
PieChart,29,40,72,80
TreeMap,56,46,82,75
PieChart,27,8,29,50
PieChart,74,48,64,80
BarChart,88,8,9,15
PieChart,29,25,86,95
PieChart,69,68,98,100
PieChart,83,15,18,25
PieChart,58,42,72,80
BarChart,20,73,27,33
BarChart,41,6,14,30
PieChart,21,26,80,80
TreeMap,41,72,56,60
TreeMap,42,56,75,75
TreeMap,18,25,72,80
BarChart,12,34,35,50
BarChart,16,48,33,50
BarChart,79,58,73,80
PieChart,82,88,93,98
TreeMap,84,83,98,95
BarChart,12,89,13,25
TreeMap,82,36,43,60
TreeMap,80,90,10,10
PieChart,70,39,55,55
TreeMap,14,26,53,55
PieChart,55,6,10,20
PieChart,79,79,100,100
PieChart,33,35,94,98
BarChart,17,22,77,90
TreeMap,41,85,48,50
PieChart,84,5,5,10
TreeMap,61,34,55,60
